dim	MAP	Avg P	Avg R	F	HR	FH	cosMSE	cosVar	cosDev	cosMean	euclMSE	euclVar	euclDev	euclMean
100	0.142873	0.268515	0.189651	0.222296	0.817647	0.404269	0.010254355848217595	 0.003740040901557633	0.061155873810760264	0.0807190289024867	0.018902617534829098	 0.01883380214636748	0.1372363003959502	-0.008665640340473011
200	0.158828	0.299512	0.209322	0.246424	0.835294	0.440922	0.00443538614135836	 0.001641651801177853	0.04051730249137833	0.05286096440141398	0.010453250255964854	 0.010123234120899268	0.10061428388106367	0.018258985361711746
300	0.157573	0.286499	0.199923	0.235506	0.823529	0.425106	0.0030056897705994776	 0.0010968610829251955	0.03311889314160719	0.04369432809913952	0.008286485170975695	 0.007380637740158264	0.08591063810820092	0.030138142666684974
400	0.156075	0.292204	0.204994	0.240951	0.835294	0.432952	0.0022935052021036107	 8.216624290930869E-4	0.02866465470039866	0.03836817249344687	0.006538512463141771	 0.005788805080315369	0.07608419731005492	0.02741599869637897
500	0.159884	0.294048	0.205769	0.242112	0.841176	0.435766	0.0018076715530962913	 6.469644404806897E-4	0.025435495679870083	0.03407231673116896	0.005532202426003267	 0.004933425407091639	0.07023834712670593	0.02450349962856962
600	0.162415	0.296251	0.208653	0.244853	0.835294	0.437379	0.001481781408554463	 5.211660430186315E-4	0.02282906136963654	0.030996597999622018	0.0038281175666561237	 0.0037271407321182244	0.06105031312055839	0.010110351862419242
700	0.164123	0.303382	0.213554	0.250664	0.835294	0.445102	0.001294001893008535	 4.5563137157205276E-4	0.021345523455095983	0.02895725122590787	0.003371783062217187	 0.003323798455197661	0.05765239331716994	0.007006606870513008
800	0.172400	0.316148	0.222986	0.261518	0.847059	0.460445	0.001114745860910891	 3.9672740169166895E-4	0.01991801701203383	0.02679833393490071	0.0028362884961402332	 0.002835928675497928	0.05325343815659162	-0.001142422951799876
900	0.174078	0.315553	0.222377	0.260895	0.847059	0.459813	0.0010127346366157607	 3.651705793052344E-4	0.019109436917534604	0.02544967152709367	0.002681561790195496	 0.0026743089019170795	0.0517137206350218	-0.0028538263049905023
1000	0.172632	0.312204	0.219498	0.257769	0.841176	0.455389	9.069794298856979E-4	 3.2539480684908153E-4	0.01803870302569122	0.02411831436838474	0.002465270095924891	 0.002461777452477481	0.049616302285413014	-0.002076833149668715
1100	0.175080	0.320406	0.225537	0.264729	0.847059	0.464944	8.911780141280253E-4	 3.19941857328063E-4	0.017886918609085888	0.02390277816668473	0.0025032918499139755	 0.002457235849813543	0.04957051391516476	-0.0068465377174919155
1200	0.173848	0.318912	0.224152	0.263265	0.841176	0.462484	8.051658589575837E-4	 2.913024009298739E-4	0.017067583335958078	0.02267069824306297	0.0023082624114129347	 0.002285085000992144	0.0478025627031872	-0.004892760511319811
1300	0.174085	0.320243	0.224869	0.264212	0.847059	0.464772	7.877122198182208E-4	 2.8423847185145485E-4	0.016859373412183944	0.02244033186305518	0.0022244474024643865	 0.002191145272486372	0.046809670715423454	-0.005833739087027304
1400	0.175220	0.320380	0.225781	0.264888	0.852941	0.465798	7.191165456224151E-4	 2.6101378206979276E-4	0.01615592096012458	0.021405367741448543	0.00208173692945991	 0.0020693151080079307	0.045489725301522	-0.003620993393344739
1500	0.176545	0.321370	0.226196	0.265512	0.852941	0.466844	6.435489381893238E-4	 2.3389770577812981E-4	0.0152937145840417	0.02024176865575539	0.0019133866690571007	 0.001907927973739644	0.0436798348639237	-0.0024687388093314108
1600	0.177473	0.324974	0.228446	0.268292	0.858824	0.471526	6.085177723959363E-4	 2.2540126008896845E-4	0.015013369378289752	0.019575281506541097	0.0018442113423738395	 0.0018347366431013346	0.04283382592182648	-0.003175890135621395
1700	0.176234	0.324253	0.229050	0.268461	0.858824	0.470766	5.649750108988357E-4	 2.1004151063368877E-4	0.01449280892835094	0.01884153693577104	0.0017330228022063865	 0.0017289734716202751	0.04158092677683213	-0.0021507336135961827
1800	0.177183	0.323985	0.228513	0.268000	0.858824	0.470483	5.23932127884858E-4	 1.953351786924468E-4	0.013976236213389026	0.018129039161484593	0.0016407347372961575	 0.0016403084522219	0.0405007216259402	-9.86435278326654E-4
1900	0.176346	0.322316	0.227537	0.266758	0.864706	0.469592	4.8960776877321E-4	 1.8420867252800992E-4	0.013572349558127727	0.017477428275808816	0.0015754667696877564	 0.0015759864068620553	0.03969869527909016	-7.544287901107356E-5
2000	0.176776	0.322316	0.227075	0.266440	0.864706	0.469592	4.6471506521837544E-4	 1.7363090021271644E-4	0.013176907839577404	0.01706288492525214	0.0015104907884696077	 0.0015109890303859398	0.03887144235021309	7.362807747161161E-5
2500	0.177389	0.321116	0.226420	0.265579	0.864706	0.468318	3.736532450173591E-4	 1.3738449198234226E-4	0.011721113086321719	0.015372525747764359	0.0013149636424056286	 0.001315389500780777	0.03626829884045814	-1.1227106385747128E-4
3000	0.178474	0.322710	0.228135	0.267304	0.864706	0.470011	3.0112058745183966E-4	 1.1148541531899787E-4	0.010558665413725254	0.013772157925973284	0.0011470739438002918	 0.001143336329741971	0.03381325671599781	0.0020294645028267433
