dim	MAP	Avg P	Avg R	F	HR	FH	cosMSE	cosVar	cosDev	cosMean	euclMSE	euclVar	euclDev	euclMean
100	0.126073	0.241958	0.169174	0.199124	0.752941	0.366229	0.008557108592128718	0.003133335708816825	0.055976206631182364	0.07365335924822561	0.018098128217593212	0.0181029367815841	0.13454715449084792	0.0011071351632167925
200	0.143951	0.273284	0.189969	0.224134	0.794118	0.406632	0.004365077365143377	0.0016136200684804998	0.04016989007304476	0.05245946215907132	0.010031704032386912	0.010034134832234852	0.10017052876088282	-9.559873235701802E-4
300	0.152252	0.287309	0.201365	0.236779	0.811765	0.424407	0.002991926717200582	0.0010714049921035347	0.03273232335327779	0.043827832025944626	0.006934905969378484	0.006929853686671183	0.08324574275403628	-0.0027133436819177835
400	0.151455	0.282383	0.197706	0.232577	0.800000	0.417424	0.002304732203744949	8.306608752819659E-4	0.028821187957507335	0.038397242289276594	0.005888019421996777	0.00558445918246506	0.07472923914014554	0.017476319003893594
500	0.152873	0.293151	0.204740	0.241096	0.811765	0.430747	0.0018718391344984759	6.718727332320768E-4	0.025920507966320352	0.03464376363566964	0.004570805010096694	0.004425556262802631	0.0665248544741184	0.0121129654798718391344984759
600	0.159009	0.299318	0.209257	0.246313	0.841176	0.441527	0.0014987264036738213	5.507331243407153E-4	0.023467703857444497	0.030792480527577198	0.0036740436983288944	0.0035884279101279274	0.059903488296825645	0.00931729203350868
700	0.161993	0.303133	0.212503	0.249853	0.852941	0.447297	0.0012873236272158521	4.696110816475884E-4	0.02167051179939201	0.028598410490715695	0.003278361783599171	0.0031389255180963483	0.05602611460824629	0.011852534497264975
800	0.162685	0.304463	0.213191	0.250781	0.841176	0.447099	0.001093529410253474	4.094918763163333E-4	0.020235905621353675	0.026156720574820654	0.0028543788163218715	0.002787150751116282	0.05279347261846186	0.008255732278602875
900	0.161068	0.304253	0.212984	0.250566	0.841176	0.446873	9.86938180116155E-4	3.627928770774143E-4	0.01904712254062052	0.024985320370124686	0.0025884638082522924	0.0025347930437392367	0.05034672823271873	0.007383474488859277
1000	0.164317	0.306564	0.214726	0.252556	0.847059	0.450195	9.161118812873091E-4	3.353446725792496E-4	0.018312418534405815	0.02410143129080896	0.002536487482269536	0.0024015809321830265	0.04900592752089309	0.011649338052606605
1100	0.164270	0.300103	0.209739	0.246913	0.817647	0.439057	7.994014034152318E-4	2.877155449355299E-4	0.01696217984032506	0.022622594096640344	0.002197845189250116	0.002133908935314546	0.04619425218914736	0.008040370446316829
1200	0.166632	0.306531	0.213813	0.251911	0.829412	0.447629	7.336834076935403E-4	2.6504130920434994E-4	0.01628008934878276	0.02165018350019827	0.001983495471224935	0.0019602098449334362	0.04427425713587339	0.0048927527602713435
1300	0.167276	0.307052	0.216005	0.253604	0.841176	0.449884	7.829662323596463E-4	2.762373291468609E-4	0.01662038895895222	0.022512684920339924	0.002867275700588779	0.002632910339287888	0.05131189276656912	0.015337633392432144
1400	0.169202	0.310320	0.218276	0.256284	0.847059	0.454232	7.448527758510474E-4	2.6633561743279074E-4	0.01631979219943657	0.02187706417592176	0.0028017581054626847	0.0025392543430795625	0.05039101450734607	0.01622806767601949
1500	0.170054	0.314568	0.221105	0.259683	0.852941	0.459625	6.699713831967386E-4	2.4112295491414204E-4	0.01552813430242481	0.02071059638448157	0.002684386945020866	0.002443930791204193	0.04943612840023168	0.015532894045017457
1600	0.169334	0.314267	0.220769	0.259348	0.841176	0.457580	6.168676193213938E-4	2.2453101898748748E-4	0.014984359145038118	0.019809377678435613	0.0025220526003756224	0.0023322448705810394	0.048293321179859225	0.013805257866169929
1700	0.171152	0.315761	0.221925	0.260655	0.847059	0.460034	6.39562303015282E-4	2.304720004653919E-4	0.015181304307120383	0.02022787993216405	0.0026603123100598664	0.002379180636297026	0.0487768452884873	0.01679061446091063
1800	0.169349	0.311758	0.219361	0.257523	0.847059	0.455770	6.070150774769429E-4	2.1883180051423737E-4	0.014792964561379756	0.019704218352835305	0.002628958671109445	0.002342802805830049	0.048402508259697136	0.01693920894103414
1900	0.169643	0.312134	0.219900	0.258022	0.841176	0.455314	5.760337351234329E-4	2.0709367724673197E-4	0.014390749711072456	0.019209609290728683	0.002574983846686026	0.002290207144482382	0.047856108747811724	0.01689793196178606
2000	0.170501	0.313964	0.220919	0.259348	0.847059	0.458123	5.400806439282395E-4	1.9445629362067985E-4	0.01394475864332832	0.018592718173309174	0.0024422077480372078	0.002196275062649284	0.04686443281049376	0.015705565162561923
2500	0.170559	0.312028	0.219027	0.257384	0.841176	0.455203	4.3330250899717096E-4	1.5729039191101813E-4	0.012541546631537042	0.01661519025520893	0.0022612888437561016	0.001996949950615047	0.04468724595021545	0.016278960136463988
3000	0.172690	0.315810	0.222070	0.260771	0.847059	0.460086	3.250531782449843E-4	1.1755039231084879E-4	0.010842065869143611	0.014406316996312396	0.0019149256761172404	0.0017854289883924058	0.042254336918148484	0.01140578058358862
